"StationUID","StationID","AuthorityID","StationNameZh_tw","StationNameEn","PositionLat","PositionLon","GeoHash","StationAddressZh_tw","StationAddressEn","StopDescription","BikesCapacity","LocationCity","LocationCityCode","LocationTown","LocationTownCode","InfoDate"
"TPE500101012",500101012,"TPE","YouBike2.0_辛亥路一段30號前","YouBike2.0_No. 30, Sec. 1, Xinhai Rd.",25.01986,121.52982,"wsqqm6xr4","辛亥路一段30號","No. 30, Sec. 1, Xinhai Rd.",NA,8,NA,NA,NA,NA,"2023-05-31"
"TPE500101013",500101013,"TPE","YouBike2.0_和平復興路口西北側","YouBike2.0_Heping Fuxing Rd. Intersection (Northwest)",25.02543,121.54332,"wsqqmg9ps","復興南路二段236號","No. 236, Sec. 2, Fuxing S. Rd.",NA,9,NA,NA,NA,NA,"2023-05-31"
"TPE500101014",500101014,"TPE","YouBike2.0_羅斯福路三段311號前","YouBike2.0_No. 311, Sec. 3, Roosevelt Rd.",25.01717,121.53202,"wsqqmd0zt","羅斯福路三段311號","No. 311, Sec. 3, Roosevelt Rd.",NA,11,NA,NA,NA,NA,"2023-05-31"
"TPE500101015",500101015,"TPE","YouBike2.0_大安運動中心停車場","YouBike2.0_Taipei Da-an Sports Center Parking lot",25.020348,121.546446,"wsqqmfg6j","敦南街76巷28號","No. 28, Ln. 76, Dunnan St.",NA,14,NA,NA,NA,NA,"2023-05-31"
"TPE500101016",500101016,"TPE","YouBike2.0_羅斯福路三段245號前","YouBike2.0_No. 245, Sec. 3, Roosevelt Rd.",25.01927,121.52989,"wsqqm6x7g","羅斯福路三段245號","No. 245, Sec. 3, Roosevelt Rd.",NA,8,NA,NA,NA,NA,"2023-05-31"
"TPE500101018",500101018,"TPE","YouBike2.0_溫州公園","YouBike2.0_Wenzhou Park",25.01895,121.53156,"wsqqmd89f","羅斯福路三段283巷11號","No. 11, Ln. 283, Sec. 3, Roosevelt Rd.",NA,5,NA,NA,NA,NA,"2023-05-31"
"TPE500101019",500101019,"TPE","YouBike2.0_和平臥龍街口","YouBike2.0_Heping Wolong St. Intersection",25.024461,121.546705,"wsqqmged5","臥龍街1號","No. 1, Wolong St.",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101020",500101020,"TPE","YouBike2.0_溫州停車場","YouBike2.0_Wenzhou Parking Lot",25.02093,121.5331,"wsqqmdctq","新生南路三段54巷/溫州街口","Ln. 54, Sec. 3, Xinsheng S. Rd. & Wenzhou St. Intersection",NA,5,NA,NA,NA,NA,"2023-05-31"
"TPE500101021",500101021,"TPE","YouBike2.0_銘傳國小側門","YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate)",25.01385,121.53549,"wsqqm9ekn","羅斯福路四段21號旁天橋下","No. 21, Sec. 4, Roosevelt Rd.",NA,7,NA,NA,NA,NA,"2023-05-31"
"TPE500101022",500101022,"TPE","YouBike2.0_捷運公館站(2號出口)","YouBike2.0_MRT Gongguan Sta. (Exit 2)",25.01491,121.53438,"wsqqm9fdk","捷運公館站(2號出口)外側","MRT Gongguan Sta. (Exit 2)",NA,99,NA,NA,NA,NA,"2023-05-31"
"TPE500101023",500101023,"TPE","YouBike2.0_第二學生活動中心","YouBike2.0_2nd Student Activity Center",25.01244,121.53661,"wsqqm9kk0","羅斯福路四段107號(西南側)","No. 107, Sec. 4, Roosevelt Rd.(Southwest)",NA,27,NA,NA,NA,NA,"2023-05-31"
"TPE500101024",500101024,"TPE","YouBike2.0_臺灣科技大學正門","YouBike2.0_NTUST(Main Gate)",25.01451,121.54142,"wsqqm9zb0","基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場)","No. 43, Sec. 4, Keelung Rd.",NA,30,NA,NA,NA,NA,"2023-05-31"
"TPE500101025",500101025,"TPE","YouBike2.0_臺灣科技大學側門","YouBike2.0_NTUST(Side Gate)",25.01295,121.53973,"wsqqm9qwb","基隆路四段73巷與基隆路口","Ln. 73, Sec. 4, Keelung Rd. Intersection",NA,99,NA,NA,NA,NA,"2023-05-31"
"TPE500101026",500101026,"TPE","YouBike2.0_公館公園","YouBike2.0_Gongguan Park",25.01137,121.54062,"wsqqm9pjv","羅斯福路四段113巷基隆路四段41巷口","Ln. 113, Sec. 4, Roosevelt Rd. & Ln. 41, Sec. 4, Keelung Rd. Intersection",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101027",500101027,"TPE","YouBike2.0_臺灣科技大學後門","YouBike2.0_NTUST(Back Gate)",25.01182,121.54165,"wsqqm9rbm","基隆路四段41巷68弄臺科帆船大樓旁","Aly. 68, Ln. 41, Sec. 4, Keelung Rd.",NA,39,NA,NA,NA,NA,"2023-05-31"
"TPE500101028",500101028,"TPE","YouBike2.0_臺大醫學院附設癌醫中心","YouBike2.0_NTU Cancer Center",25.01426,121.54382,"wsqqmc9w8","基隆路三段155巷57號西側","No. 57, Ln. 155, Sec. 3, Keelung Rd.(West)",NA,20,NA,NA,NA,NA,"2023-05-31"
"TPE500101029",500101029,"TPE","YouBike2.0_臺大環研大樓","YouBike2.0_NTU Environment Research Building",25.01234,121.54503,"wsqqmc67k","芳蘭路/基隆路三段155巷口","Fanglan Rd & Ln. 155, Sec. 3, Keelung Rd. Intersection",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101030",500101030,"TPE","YouBike2.0_臺大永齡生醫工程館","YouBike2.0_NTU Yonglin Biomedical Engineering Hall",25.0136,121.54656,"wsqqmcedb","芳蘭路51號西北側","No. 51, Fanglan Rd.(Northwest)",NA,34,NA,NA,NA,NA,"2023-05-31"
"TPE500101031",500101031,"TPE","YouBike2.0_臺大男七舍前","YouBike2.0_NTU 7th Men's Dorm",25.01537,121.54698,"wsqqmcgv1","長興街/長興街80巷口西側","Ln. 80, Changxing St. Intersection(West)",NA,20,NA,NA,NA,NA,"2023-05-31"
"TPE500101032",500101032,"TPE","YouBike2.0_臺大男一舍前","YouBike2.0_NTU 1st Men's Dorm",25.01637,121.54535,"wsqqmf4dg","長興街50號西北側","No. 50, Changxing St.(Northwest)",NA,61,NA,NA,NA,NA,"2023-05-31"
"TPE500101033",500101033,"TPE","YouBike2.0_臺大男六舍前","YouBike2.0_NTU 6th Men's Dorm",25.01664,121.5452,"wsqqmf4s2","大安區長興街31號","No. 31, Changxing St.",NA,46,NA,NA,NA,NA,"2023-05-31"
"TPE500101034",500101034,"TPE","YouBike2.0_臺大動物醫院前","YouBike2.0_NTU Veterinary Hospital",25.01576,121.54291,"wsqqmcbz7","基隆路三段155巷/基隆路四段口","Ln. 155, Sec. 3, Keelung Rd. Intersection",NA,18,NA,NA,NA,NA,"2023-05-31"
"TPE500101035",500101035,"TPE","YouBike2.0_臺大土木研究大樓前","YouBike2.0_NTU Civil Engineering Research Building",25.01787,121.5476,"wsqqmfk78","辛亥路三段188號","No. 188, Sec. 3, Xinhai Rd.",NA,24,NA,NA,NA,NA,"2023-05-31"
"TPE500101036",500101036,"TPE","YouBike2.0_臺大萬才館前","YouBike2.0_NTU Wan Tsai Research Hall",25.02032,121.54497,"wsqqmff3g","臺大萬才館北側","NTU Wan Tsai Research Hall",NA,20,NA,NA,NA,NA,"2023-05-31"
"TPE500101037",500101037,"TPE","YouBike2.0_臺大國青大樓宿舍前","YouBike2.0_NTU Guo - Ching Building",25.02076,121.54432,"wsqqmfcu7","辛亥路三段30號西北側","No. 30, Sec. 3, Xinhai Rd.(Northwest)",NA,20,NA,NA,NA,NA,"2023-05-31"
"TPE500101038",500101038,"TPE","YouBike2.0_臺大社科院圖書館前","YouBike2.0_NTU College of social Sciences Building",25.02101,121.54284,"wsqqmfbvc","辛亥路與復興南路口西南側","Xinhai Fuxing Rd. Intersection (Southwest)",NA,27,NA,NA,NA,NA,"2023-05-31"
"TPE500101039",500101039,"TPE","YouBike2.0_臺大法人語言訓練中心前","YouBike2.0_NTU Language Training & Testing Center",25.02104,121.54081,"wsqqmdzq4","臺大法人語言訓練中心北側","NTU Language Training & Testing Center(North)",NA,28,NA,NA,NA,NA,"2023-05-31"
"TPE500101040",500101040,"TPE","YouBike2.0_臺大綜合體育館停車場前","YouBike2.0_NTU Sports Center Car Park",25.0222,121.53626,"wsqqmehhb","臺大綜合體育館北側","NTU Sports Center(North)",NA,25,NA,NA,NA,NA,"2023-05-31"
"TPE500101041",500101041,"TPE","YouBike2.0_辛亥新生路口東南側","YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast)",25.02218,121.53474,"wsqqme4uu","辛亥新生路口東南側","Xinhai Xinsheng Rd. Intersection (Southeast)",NA,41,NA,NA,NA,NA,"2023-05-31"
"TPE500101042",500101042,"TPE","YouBike2.0_基隆長興路口東側","YouBike2.0_Keelung Changxing Rd. Intersection(East)",25.01727,121.54471,"wsqqmf60j","基隆長興路口東側","Keelung Changxing Rd. Intersection(East)",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101091",500101091,"TPE","YouBike2.0_國北教大側門南側","YouBike2.0_NTUE Side Gate(South)",25.022864,121.546622,"wsqqmg789","敦南街51號","No. 51, Dunnan St.",NA,25,NA,NA,NA,NA,"2023-05-31"
"TPE500101092",500101092,"TPE","YouBike2.0_和平實小東北側","YouBike2.0_Heping Experiment Elementary School (Northeast)",25.021641,121.54704,"wsqqmg5ce","敦南街73號","No. 73, Dunnan St.",NA,13,NA,NA,NA,NA,"2023-05-31"
"TPE500101093",500101093,"TPE","YouBike2.0_大安區健康服務中心","YouBike2.0_Daan District Public Health Center",25.021469,121.544069,"wsqqmg18w","辛亥路三段15號","No. 15, Sec. 1, Xinhai Rd.",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101094",500101094,"TPE","YouBike2.0_辛亥泰順街口","YouBike2.0_Xinhai Taishun St. Intersection",25.02193,121.53165,"wsqqme0ek","辛亥泰順街口東南側","Xinhai Taishun St. Intersection (Southeast)",NA,20,NA,NA,NA,NA,"2023-05-31"
"TPE500101095",500101095,"TPE","YouBike2.0_芳和國中","YouBike2.0_Fanghe Junior High School",25.0189,121.55013,"wsqqmfw1e","臥龍街170號(前)","No. 170, Wolong St.",NA,28,NA,NA,NA,NA,"2023-05-31"
"TPE500101097",500101097,"TPE","YouBike2.0_臥龍樂業街口","YouBike2.0_Wolong Leye St. Intersection",25.01856,121.55558,"wsqqq46pd","臥龍街234-2號","No. 234-2, Wolong St.",NA,36,NA,NA,NA,NA,"2023-05-31"
"TPE500101098",500101098,"TPE","YouBike2.0_臥龍公園","YouBike2.0_Wolong Park",25.01623,121.55037,"wsqqmfn60","辛亥路三段223號西側","No. 223, Sec. 3, Xinhai Rd. (West)",NA,14,NA,NA,NA,NA,"2023-05-31"
"TPE500101099",500101099,"TPE","YouBike2.0_嘉興公園","YouBike2.0_Jiaxing Park",25.021,121.55211,"wsqqmfztc","樂業街101巷3號西北側","No. 3, Ln. 101, Leye St. (Northwest)",NA,44,NA,NA,NA,NA,"2023-05-31"
"TPE500101100",500101100,"TPE","YouBike2.0_捷運麟光站(2號出口)","YouBike2.0_MRT Linguang Sta. (Exit 2)",25.0181,121.55929,"wsqqq4kub","和平東路三段420號東北側","No. 420, Sec. 3, Heping E. Rd. (Northeast)",NA,35,NA,NA,NA,NA,"2023-05-31"
"TPE500101101",500101101,"TPE","YouBike2.0_捷運六張犁站","YouBike2.0_MRT Liuzhangli Sta.",25.02397,121.55266,"wsqqmgrzn","和平東路三段410號","No. 410, Sec. 3, Heping E. Rd.",NA,64,NA,NA,NA,NA,"2023-05-31"
"TPE500101102",500101102,"TPE","YouBike2.0_喬治工商","YouBike2.0_George Vocational High School of Taipei",25.02705,121.55551,"wsqqqh410","基隆路二段166號","No. 166, Sec. 2, Keelung Rd.",NA,26,NA,NA,NA,NA,"2023-05-31"
"TPE500101103",500101103,"TPE","YouBike2.0_法治公園","YouBike2.0_Fazhi Park",25.02694,121.55325,"wsqqqh02k","通化街189號西側","No. 189, Tonghua St. (West)",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101104",500101104,"TPE","YouBike2.0_捷運臺電大樓站(2號出口)","YouBike2.0_MRT Taipower Building Sta. (Exit 2)",25.02021,121.52942,"wsqqm6z12","辛亥路一段/羅斯福路三段口北側(辛亥路側)","Sec. 1, Xinhai Rd & Sec. 3, Roosevelt Rd (North)",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101105",500101105,"TPE","YouBike2.0_和平金山路口","YouBike2.0_Sec. 1, Heping E. Rd & Sec. 2, Jinshan S. Rd Intersection",25.02669,121.52529,"wsqqm7up0","和平東路一段/金山南路二段西南側","Sec. 1, Heping E. Rd & Sec. 2, Jinshan S. Rd Intersection (Southwest)",NA,45,NA,NA,NA,NA,"2023-05-31"
"TPE500101107",500101107,"TPE","YouBike2.0_和平龍泉街口","YouBike2.0_Sec. 1, Heping E. Rd & Longquan St. Intersection",25.02638,121.52971,"wsqqm7zjp","和平東路一段/龍泉街口西南側","Sec. 1, Heping E. Rd & Longquan St. Intersection (Southwest)",NA,34,NA,NA,NA,NA,"2023-05-31"
"TPE500101108",500101108,"TPE","YouBike2.0_和平泰順街口","YouBike2.0_Sec. 1, Heping E. Rd & Taishun St  Intersection",25.02621,121.53171,"wsqqmebsn","和平東路一段/泰順街口東南側","Sec. 1, Heping E. Rd & Taishun St  Intersection (Southeast)",NA,9,NA,NA,NA,NA,"2023-05-31"
"TPE500101109",500101109,"TPE","YouBike2.0_臺灣師範大學(圖書館)","YouBike2.0_National Taiwan Normal University (library)",25.0266,121.52973,"wsqqm7znx","和平東路一段129號前","No. 129, Sec. 1, Heping E. Rd.",NA,40,NA,NA,NA,NA,"2023-05-31"
"TPE500101110",500101110,"TPE","YouBike2.0_捷運古亭站(6號出口)","YouBike2.0_MRT Guting Sta. (Exit 6)",25.0276,121.52217,"wsqqmk1sr","羅斯福路二段41號前","No. 41, Sec. 2, Roosevelt Rd",NA,60,NA,NA,NA,NA,"2023-05-31"
"TPE500101111",500101111,"TPE","YouBike2.0_捷運古亭站(5號出口)","YouBike2.0_MRT Guting Sta. (Exit 5)",25.02715,121.52293,"wsqqmk439","和平東路一段19號前","No. 19, Sec. 1, Heping E. Rd",NA,14,NA,NA,NA,NA,"2023-05-31"
"TPE500101113",500101113,"TPE","YouBike2.0_臺北市立圖書館(總館)","YouBike2.0_Taipei Public library",25.02895,121.5379,"wsqqmsmhn","建國南路二段/建國南路二段151巷(橋下空間)","Sec. 2, Jianguo S. Rd & Ln. 151, Sec. 2, Jianguo S. Rd (Under Bridge)",NA,45,NA,NA,NA,NA,"2023-05-31"
"TPE500101114",500101114,"TPE","YouBike2.0_新生和平路口東北側","YouBike2.0_Sec. 2, Xinsheng S. Rd & Sec. 2, Heping E. Rd Intersection",25.02657,121.53515,"wsqqmegnq","新生南路二段與和平東路二段口東北側","Sec. 2, Xinsheng S. Rd & Sec. 2, Heping E. Rd (Northeast)",NA,38,NA,NA,NA,NA,"2023-05-31"
"TPE500101115",500101115,"TPE","YouBike2.0_建國和平路口西北側","YouBike2.0_Sec. 2, Jianguo S. Rd & Sec. 2, Heping E. Rd Intersection",25.02606,121.53738,"wsqqmeug6","建國南路二段與和平東路二段口西北側","Sec. 2, Jianguo S. Rd & Sec. 2, Heping E. Rd. (Northwest)",NA,44,NA,NA,NA,NA,"2023-05-31"
"TPE500101116",500101116,"TPE","YouBike2.0_金華公園","YouBike2.0_Jinhua Park",25.02984,121.53107,"wsqqms81r","金華街249號對面","No. 249, Jinhua St. (Opposite)",NA,35,NA,NA,NA,NA,"2023-05-31"
"TPE500101117",500101117,"TPE","YouBike2.0_捷運東門站(3號出口)","YouBike2.0_MRT Dongmen Sta. (Exit 3)",25.03383,121.52815,"wsqqmmq0e","信義路二段128號前","No. 128, Sec. 2, Xinyi Rd.",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101118",500101118,"TPE","YouBike2.0_金甌女中","YouBike2.0_Jin'ou Girls High School",25.03519,121.5245,"wsqqmme2w","信義路二段與杭州南路二段東南側","Sec. 2, Xinyi Rd. & Sec. 2, Hangzhou S. Rd. (Southeast)",NA,12,NA,NA,NA,NA,"2023-05-31"
"TPE500101119",500101119,"TPE","YouBike2.0_金杭公園","YouBike2.0_Jinhang Park",25.03325,121.52436,"wsqqmm5m6","愛國東路21巷與杭州南路二段25巷口東南側","Ln. 21, Aiguo E. Rd. & Ln. 25, Sec. 2, Hangzhou S. Rd. Intersection (Southeast)",NA,20,NA,NA,NA,NA,"2023-05-31"
"TPE500101120",500101120,"TPE","YouBike2.0_愛國金山路口","YouBike2.0_Aiguo & Jinshan Rd. Intersection",25.03164,121.52661,"wsqqmkugz","愛國東路與杭州南路二段口西南側","Aiguo E. Rd. & Sec. 2, Hangzhou S. Rd. Intersection (Southwest)",NA,33,NA,NA,NA,NA,"2023-05-31"
"TPE500101122",500101122,"TPE","YouBike2.0_敦化南路二段293巷口南側","YouBike2.0_Ln. 293, Sec. 2, Dunhua S. Rd (South)",25.0237,121.54899,"wsqqmgmm8","敦化南路二段293巷口南側","Ln. 293, Sec. 2, Dunhua S. Rd. (South)",NA,14,NA,NA,NA,NA,"2023-05-31"
"TPE500101123",500101123,"TPE","YouBike2.0_敦化基隆路口","YouBike2.0_Sec. 2, Dunhua S. Rd & Sec. 2, Keelung Rd Intersection",25.02215,121.54839,"wsqqmghud","敦化南路二段218號","No. 218, Sec. 2, Dunhua S. Rd",NA,29,NA,NA,NA,NA,"2023-05-31"
"TPE500101124",500101124,"TPE","YouBike2.0_安和路二段181巷口","YouBike2.0_Ln. 181, Sec. 2, Anhe Rd",25.02721,121.54988,"wsqqmujfj","安和路二段185號","No185, Sec. 2, Anhe Rd",NA,17,NA,NA,NA,NA,"2023-05-31"
"TPE500101125",500101125,"TPE","YouBike2.0_臨江街夜市(通化街101巷口)","YouBike2.0_Linjiang St night market (Ln. 101, Tonghua St)",25.02952,121.55406,"wsqqqh2zw","通化街111號","No. 101, Tonghua St.",NA,30,NA,NA,NA,NA,"2023-05-31"
"TPE500101126",500101126,"TPE","YouBike2.0_臨江街夜市(基隆路)","YouBike2.0_Linjiang St night market (Keelung Rd)",25.02931,121.55721,"wsqqqh7q2","基隆路二段108號","No. 108, Sec. 2, Keelung Rd.",NA,17,NA,NA,NA,NA,"2023-05-31"
"TPE500101127",500101127,"TPE","YouBike2.0_台北科技大學億光大樓","YouBike2.0_National Taipei University of Technology (Everlight Building)",25.04177,121.53833,"wsqqmwtwb","忠孝東路三段81號","No. 81, Sec. 3, Zhongxiao E. Rd.",NA,46,NA,NA,NA,NA,"2023-05-31"
"TPE500101128",500101128,"TPE","YouBike2.0_新生南路一段119巷口","YouBike2.0_Ln. 119, Sec. 1, Xinsheng S. Rd Intersection",25.04003,121.53299,"wsqqmw3se","新生南路一段113號","No. 113, Ln. 119, Sec. 1, Xinsheng S. Rd.",NA,33,NA,NA,NA,NA,"2023-05-31"
"TPE500101129",500101129,"TPE","YouBike2.0_幸安國小(仁愛路)","YouBike2.0_Xing'an Elementary School (Ren'ai Rd)",25.03753,121.53523,"wsqqmtgq0","仁愛路三段22號","No. 22, Sec. 3, Ren'ai Rd.",NA,16,NA,NA,NA,NA,"2023-05-31"
"TPE500101130",500101130,"TPE","YouBike2.0_民榮公園","YouBike2.0_Minrong Park",25.03534,121.5354,"wsqqmte3k","建國南路一段304巷45號南側","No. 45, Ln. 304, Sec. 1, Jianguo S. Rd. (South)",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101131",500101131,"TPE","YouBike2.0_復興南路1段340巷口","YouBike2.0_Ln. 340, Sec. 1, Fuxing S. Rd Intersection",25.03701,121.54348,"wsqqmvc70","復興南路一段信義路三段147巷45弄口","Sec. 1, Fuxing S. Rd & Aly. 45, Ln. 147, Sec. 3, Xinyi Rd Intersection.",NA,38,NA,NA,NA,NA,"2023-05-31"
"TPE500101132",500101132,"TPE","YouBike2.0_建國濟南路口","YouBike2.0_Sec. 1, Jianguo S. Rd & Sec. 3, Jinan Rd Intersection",25.03935,121.53828,"wsqqmwm2z","建國南路一段/濟南路三段口(東南側)","Sec. 1, Jianguo S. Rd & Sec. 3, Jinan Rd Intersection. (Southeast)",NA,29,NA,NA,NA,NA,"2023-05-31"
"TPE500101133",500101133,"TPE","YouBike2.0_捷運忠孝復興站(2號出口)","YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 2)",25.04035,121.5436,"wsqqmy3qe","復興南路一段/仁愛路三段123巷13弄(西北側)","Sec. 1, Fuxing S. R & Aly. 13, Ln. 123, Sec. 3, Ren'ai Rd. (Northwest)",NA,43,NA,NA,NA,NA,"2023-05-31"
"TPE500101134",500101134,"TPE","YouBike2.0_捷運大安站(4號出口)","YouBike2.0_MRT Da’an Sta (Exit 4)",25.0332,121.5439,"wsqqmv1sf","信義路4段6號(前)","No. 6, Sec. 4, Xinyi Rd.",NA,13,NA,NA,NA,NA,"2023-05-31"
"TPE500101135",500101135,"TPE","YouBike2.0_捷運大安站(2號出口)","YouBike2.0_MRT Da’an Sta (Exit 2)",25.03358,121.54141,"wsqqmtpz0","信義路3段143號(前)","No. 143, Sec. 3, Xinyi Rd.",NA,22,NA,NA,NA,NA,"2023-05-31"
"TPE500101136",500101136,"TPE","YouBike2.0_信義大安路口(信維大樓)","YouBike2.0_Sec. 4, Xinyi Rd & Da’an Rd Intersection (Xinwei Building)",25.03317,121.54639,"wsqqmv5ku","信義路四段74號(前)","No. 74, Sec. 4, Xinyi Rd.",NA,12,NA,NA,NA,NA,"2023-05-31"
"TPE500101137",500101137,"TPE","YouBike2.0_龍門廣場","YouBike2.0_Long Men Plaza",25.04092,121.54825,"wsqqmys9z","敦化南路一段與敦化南路一段236巷口","Sec. 1, Dunhua S. Rd & Ln. 236, Sec. 1, Dunhua S. Rd Intersection.",NA,50,NA,NA,NA,NA,"2023-05-31"
"TPE500101138",500101138,"TPE","YouBike2.0_仁愛安和路口","YouBike2.0_Sec. 4, Ren'ai Rd & Sec. 1, Anhe Rd Intersection",25.03754,121.55285,"wsqqqjbn4","仁愛路四段258號前","No. 74, Sec. 4, Ren'ai Rd.",NA,25,NA,NA,NA,NA,"2023-05-31"
"TPE500101139",500101139,"TPE","YouBike2.0_信義敦化路口","YouBike2.0_Sec. 4, Xinyi Rd & Sec. 1, Dunhua S. Rd Intersection",25.03333,121.54977,"wsqqmvjvd","信義路四段155號前","No. 155, Sec. 4, Xinyi Rd",NA,46,NA,NA,NA,NA,"2023-05-31"
"TPE500101140",500101140,"TPE","YouBike2.0_仁愛國中","YouBike2.0_Ren Ai Junior High School",25.03706,121.55166,"wsqqmvz5q","安和路一段75號(對面)","No. 75, Sec. 1, Anhe Rd.",NA,25,NA,NA,NA,NA,"2023-05-31"
"TPE500101141",500101141,"TPE","YouBike2.0_捷運信義安和站(2號出口)","YouBike2.0_MRT Xinyi Anhe Sta (Exit 2)",25.03304,121.55171,"wsqqmvpk0","信義路四段188號前","No. 188, Sec. 4, Xinyi Rd",NA,26,NA,NA,NA,NA,"2023-05-31"
"TPE500101142",500101142,"TPE","YouBike2.0_八德市場","YouBike2.0_Bade Traditional Market",25.04463,121.53665,"wsqqmxhr9","市民大道三段170號","No. 170, Sec. 3, Civic Blvd.",NA,30,NA,NA,NA,NA,"2023-05-31"
"TPE500101143",500101143,"TPE","YouBike2.0_昌隆公園","YouBike2.0_Changlong Park",25.04448,121.53946,"wsqqmxnqd","市民大道三段206號西側","No. 206, Sec. 3, Civic Blvd. (West)",NA,16,NA,NA,NA,NA,"2023-05-31"
"TPE500101144",500101144,"TPE","YouBike2.0_捷運大安森林公園站(2號出口)","YouBike2.0_MRT Daan Park Sta. (Exit 2)",25.03332,121.53435,"wsqqmt4te","捷運大安森林公園站(2號出口)西側","MRT Daan Park Sta. (Exit 2) (West)",NA,62,NA,NA,NA,NA,"2023-05-31"
"TPE500101145",500101145,"TPE","YouBike2.0_信義延吉街口","YouBike2.0_Sec. 4,Xinyi Rd & Yanji St Intersection",25.03318,121.55725,"wsqqqj5kc","信義路四段353號","No. 353, Sec. 4, Xinyi Rd.",NA,15,NA,NA,NA,NA,"2023-05-31"
"TPE500101146",500101146,"TPE","YouBike2.0_光信公園(光復南路456巷)","YouBike2.0_Guangxin Park (Ln. 456, Guangfu S. Rd)",25.03513,121.5561,"wsqqqjd2n","延吉街249號","No. 249, Yanji St.",NA,15,NA,NA,NA,NA,"2023-05-31"
